2020.05.02■1,8,0,6,4,4,6,9,4,2,9,7,5,9,7,8,3,6,9,3,6,7,1■5
2020.05.03■7,4,8,9,7,5,4,7,7,6,2,5,1,9,1,5,5,8,0,9,3,6,0■3
2020.05.04■9,1,4,5,8,2,4,8,0,9,6,2,4,4,7,8,1,2,4,0,1,6,0■6
2020.05.05■8,8,8,4,6,9,5,3,3,5,0,2,1,9,0,0,7,3,5,4,0,0,1■6
2020.05.06■7,3,8,4,4,2,5,7,8,6,2,6,7,4,2,4,7,1,8,5,5,7,1■8
2020.05.07■9,1,7,0,4,3,8,4,9,5,4,9,3,4,9,4,8,0,1,6,1,6,7■6
2020.05.08■8,0,7,1,0,3,9,9,3,0,0,1,1,4,4,8,9,6,4,7,3,5,5■1
2020.05.09■7,4,3,3,8,2,9,2,3,4,6,9,3,1,7,5,5,7,5,0,1,9,2■7
2020.05.10■0,2,3,0,9,5,7,3,9,7,1,8,9,0,7,5,0,8,4,5,0,4,3■6
2020.05.11■9,0,6,6,3,9,3,9,2,1,0,8,9,6,3,7,0,8,5,6,2,8,3■3
2020.05.12■6,6,8,4,4,1,2,6,6,7,2,4,8,6,4,4,1,2,0,9,6,4,9■2
2020.05.13■6,2,1,2,3,7,8,6,0,9,3,7,1,0,1,4,5,6,0,4,0,0,6■5
2020.05.14■5,7,6,8,8,9,0,4,1,0,3,6,5,9,4,1,1,6,9,4,5,4,0■5
2020.05.15■2,1,5,6,9,6,2,5,3,3,3,3,2,0,5,1,7,9,0,6,3,8,9■7
2020.05.16■3,6,0,6,4,6,4,6,6,5,5,5,6,1,2,7,2,1,9,6,9,8,0■7
2020.05.17■5,1,6,2,4,8,3,5,9,9,8,3,6,1,1,5,4,6,4,8,1,0,5■4
2020.05.18■2,5,9,1,8,6,2,9,0,7,7,6,2,7,6,4,7,9,5,8,8,3,3■7
2020.05.19■6,3,2,1,1,5,1,0,2,3,2,6,4,2,3,2,6,9,8,9,0,2,7■7
2020.05.20■5,8,7,2,9,1,8,1,4,0,7,6,1,6,1,3,6,9,2,7,1,4,4■2
